embedding_type,model,chr,accuracy,f1,mcc,auroc,pearson
last,XGB,6,0.7627450980392156,0.7269390417956368,0.7002585932967309,0.9314340705872308,0.7175640623740899
last,XGB,6,0.7823529411764706,0.7570634925100455,0.7250209219322287,0.9454125208517052,0.7729945941342258
last,XGB,6,0.7803921568627451,0.7512511703069658,0.7230197366530672,0.9413139050743375,0.7538940877027812
last,XGB,6,0.7996070726915521,0.768158882257171,0.7473718567455769,0.9433214376306946,0.7657704111907302
last,XGB,6,0.7642436149312377,0.7398169659993581,0.7021566669734204,0.9283302935932136,0.7308620787267495
last_mat,XGB,6,0.7352941176470589,0.6952536007458286,0.6649265725701923,0.9067285887529138,0.6778525495710019
last_mat,XGB,6,0.7137254901960784,0.6820085526432598,0.6377572828031105,0.9002709082054533,0.6664879327098157
last_mat,XGB,6,0.7176470588235294,0.6849161099054488,0.6427363602743927,0.9048686660482812,0.6782202707421983
last_mat,XGB,6,0.7229862475442044,0.6974542597065038,0.6499877227426729,0.9147608781451394,0.6853330003811675
last_mat,XGB,6,0.6797642436149313,0.6505932489436024,0.5950473495356816,0.8812963881336007,0.6222449665432002
last_pat,XGB,6,0.6843137254901961,0.6421240577300168,0.6002853867603372,0.8800559177272944,0.614320192683698
last_pat,XGB,6,0.6823529411764706,0.6529098576507059,0.5987434581907918,0.8956372741225392,0.6353413538794689
last_pat,XGB,6,0.6862745098039216,0.6480070705062012,0.6030936439581194,0.900145844676987,0.6445426683508079
last_pat,XGB,6,0.7269155206286837,0.6890833675838496,0.6548451251943638,0.8982084870992812,0.6773051352288227
last_pat,XGB,6,0.6974459724950884,0.6586194609206824,0.6167028016238555,0.8868570935417223,0.6365762422997996
mean,XGB,6,0.803921568627451,0.769443998345378,0.7537551225950793,0.9595126119884165,0.7880607465477569
mean,XGB,6,0.8058823529411765,0.7820068883785559,0.7546921388105143,0.9474507471258107,0.7777726221929087
mean,XGB,6,0.8215686274509804,0.7947623826602028,0.7755155700971124,0.94856118780651,0.7887271202941791
mean,XGB,6,0.825147347740668,0.8013092611145964,0.7797336656262612,0.9626703780600441,0.8058777319807214
mean,XGB,6,0.8015717092337917,0.7776182709286508,0.7492282126148402,0.9540702229651996,0.7829713509203381
mean_mat,XGB,6,0.7627450980392156,0.7265644974814058,0.700430323515229,0.9234386085111437,0.71435885759575
mean_mat,XGB,6,0.7254901960784313,0.6963150244544012,0.653049914650294,0.9018939969554207,0.6782257812427652
mean_mat,XGB,6,0.7568627450980392,0.7295410191929108,0.6925619050358109,0.92287145668222,0.722949814298492
mean_mat,XGB,6,0.7603143418467584,0.736468434968635,0.6972588984807805,0.93038747819223,0.7340931886702011
mean_mat,XGB,6,0.7269155206286837,0.6953996024604715,0.6551479191800192,0.915353304736443,0.6948669224644904
mean_pat,XGB,6,0.711764705882353,0.6742926229254551,0.635552874741529,0.9067547039205307,0.6672038668094681
mean_pat,XGB,6,0.7549019607843137,0.7259027552239374,0.6903597038732402,0.9140455890117449,0.7006841886707716
mean_pat,XGB,6,0.7411764705882353,0.7101938396722687,0.6732471241630803,0.9193207947060007,0.708019634949342
mean_pat,XGB,6,0.7406679764243614,0.7066149730439959,0.671980772343589,0.9137478612882035,0.7112164306881014
mean_pat,XGB,6,0.7465618860510805,0.712723749294988,0.679391094123253,0.9054086197666159,0.6845236681192801
max,XGB,6,0.8098039215686275,0.7694394260448073,0.7611371479286597,0.9556749780930531,0.7788255913087632
max,XGB,6,0.8431372549019608,0.8229224574214818,0.8021539034754036,0.9484747424756351,0.8034975346384625
max,XGB,6,0.8235294117647058,0.7961426233593711,0.7775752849676844,0.9529216775804444,0.7948263040444454
max,XGB,6,0.8290766208251473,0.8018870781755443,0.7850937451898549,0.9637369008208644,0.816159373683542
max,XGB,6,0.8015717092337917,0.7722160702411486,0.7491589987125092,0.954102860527356,0.7776164826199453
max_mat,XGB,6,0.7745098039215687,0.7365874259717797,0.7155737552753281,0.9281796622180719,0.7388298644203221
max_mat,XGB,6,0.7529411764705882,0.7230463288332377,0.6878686884163426,0.9056873240952605,0.6995509485423259
max_mat,XGB,6,0.7803921568627451,0.7551110412365356,0.7228132909600252,0.9226025725461218,0.7362533455353187
max_mat,XGB,6,0.793713163064833,0.7684717345264891,0.7409313665649828,0.940963671431291,0.7654196473295117
max_mat,XGB,6,0.7406679764243614,0.7050395558453151,0.6728894525660123,0.9180967507656554,0.7079967095645305
max_pat,XGB,6,0.7196078431372549,0.6756597529727907,0.6450669192804347,0.9081224397172226,0.6648224296656442
max_pat,XGB,6,0.7627450980392156,0.7375616706558592,0.7011746203830996,0.9243641329467185,0.732217635742219
max_pat,XGB,6,0.7627450980392156,0.7343890892749476,0.7002322649991609,0.9239271914846695,0.7228228953196311
max_pat,XGB,6,0.7485265225933202,0.7142642140468228,0.6821606532642355,0.9203575092100168,0.7130094971689729
max_pat,XGB,6,0.7642436149312377,0.7362032692477827,0.702129570464707,0.9241124632102811,0.727033533791834
